A1,#genre#
CCTV3综艺,https://live.264788.xyz/channel/cctv3?streamid=4495555c28e027d370ae1c1bba64a72e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CCTV3综艺,https://live.264788.xyz/channel/cctv3?streamid=d0473114041b533ea069452f29f33588&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CGTN新闻,https://live.264788.xyz/channel/cgtn?streamid=449ceee2276fb50f7fa3c15d86686ead&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
CHC影迷电影,https://live.264788.xyz/channel/chcyingmidianying?streamid=cba6f50f29e98905aa48ac42cd5864c8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk

B1,#genre#
AMC电影台,http://211.23.125.95:50007/4gtv-4gtv017/index.m3u8?proxy=true
ELTA生活旅游,http://211.23.125.95:50007/4gtv-live120/index.m3u8?proxy=true
FUN4K探索娱乐,http://211.23.125.95:50007/4gtv-live011/index.m3u8?proxy=true
MTVLive,http://211.23.125.95:50007/4gtv-live025/index.m3u8?proxy=true
TVBS欢乐台,http://211.23.125.95:50007/4gtv-4gtv068/index.m3u8?proxy=true
TVBS欢乐台,http://211.23.125.95:50007/li-4gtv-4gtv068/index.m3u8?proxy=true
TVBS精采台,http://211.23.125.95:50007/4gtv-4gtv067/index.m3u8?proxy=true
TVBS精采台,http://211.23.125.95:50007/li-4gtv-4gtv067/index.m3u8?proxy=true
TVBS台剧台,http://211.23.125.95:50007/4gtv-live088/index.m3u8?proxy=true
TVBS新闻台,http://211.23.125.95:50007/li-4gtv-4gtv072/index.m3u8?proxy=true
TVBS综艺台,http://211.23.125.95:50007/4gtv-live087/index.m3u8?proxy=true
TVBS,http://211.23.125.95:50007/4gtv-4gtv073/index.m3u8?proxy=true
TVBS,http://211.23.125.95:50007/li-4gtv-4gtv073/index.m3u8?proxy=true
八大精彩,http://211.23.125.95:50007/4gtv-4gtv034/index.m3u8?proxy=true
八大精彩,http://211.23.125.95:50007/li-4gtv-4gtv034/index.m3u8?proxy=true
八大综艺,http://211.23.125.95:50007/4gtv-4gtv039/index.m3u8?proxy=true
半岛新闻台,http://211.23.125.95:50007/li-litv-ftv10/index.m3u8?proxy=true
半岛新闻台,http://211.23.125.95:50007/litv-ftv10/index.m3u8?proxy=true
采昌影剧,http://211.23.125.95:50007/4gtv-4gtv049/index.m3u8?proxy=true
